16:33:22 INFO  : cmd.exe, /C, empyro.bat create_bsp -w C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp -p psu_cortexa53_0 -o standalone -s C:\OCDS\cloude-detection-accelerator\OCDS_platform\hw\sdt\system-top.dts -t zynqmp_fsbl -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:33:59 INFO  : [INFO]: Starting domain creation
16:33:59 INFO  : [INFO]: Found HLS driver within SDT, copying the sources
16:33:59 INFO  : [INFO]: Generating Domain-specific DTS for psu_pmu_0
16:33:59 INFO  : [INFO]: Generating required metadata from domain specific DT
16:33:59 INFO  : CMake Warning at libsrc/xilsecure/src/CMakeLists.txt:31 (message):
16:33:59 INFO  :   XilSecure library requires xilmailbox library in client mode.
16:33:59 INFO  : 
16:33:59 INFO  : 
16:33:59 INFO  : STATUS: No Value specified, assigning default values.
16:33:59 INFO  : [INFO]: Successfully created Domain at C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
16:33:59 INFO  : Successfully Generated Domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
16:33:59 INFO  : lopper command to create baremetal application :empyro.bat create_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw -t zynqmp_pmufw -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp -n pmufw -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:33:59 INFO  : cmd.exe, /C, empyro.bat validate_bsp -t zynqmp_pmufw -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:34:00 INFO  : [INFO]: Starting domain creation
16:34:00 INFO  : [INFO]: Found HLS driver within SDT, copying the sources
16:34:00 INFO  : [INFO]: Generating Domain-specific DTS for psu_cortexa53_0
16:34:00 INFO  : [INFO]: Generating required metadata from domain specific DT
16:34:00 INFO  : CMake Warning at libsrc/xilsecure/src/CMakeLists.txt:31 (message):
16:34:00 INFO  :   XilSecure library requires xilmailbox library in client mode.
16:34:00 INFO  : 
16:34:00 INFO  : 
16:34:00 INFO  : [INFO]: Successfully created Domain at C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
16:34:00 INFO  : Successfully Generated Domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
16:34:00 INFO  : lopper command to create baremetal application :empyro.bat create_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl -t zynqmp_fsbl -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp -n fsbl -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:34:00 INFO  : cmd.exe, /C, empyro.bat validate_bsp -t zynqmp_fsbl -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:34:01 INFO  : Successfully validated template zynqmp_pmufw
16:34:01 INFO  : cmd.exe, /C, empyro.bat create_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw -t zynqmp_pmufw -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp -n pmufw -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:34:03 INFO  : Successfully validated template zynqmp_fsbl
16:34:03 INFO  : cmd.exe, /C, empyro.bat create_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl -t zynqmp_fsbl -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp -n fsbl -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
